model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 Aygo,2016.0,7500.0,Manual,14612.0,Petrol,0.0,69.0,1.0,toyota
 Up,2018.0,8712.0,Manual,1607.0,Petrol,145.0,64.2,1.0,volkswagen
 Focus,2018.0,12670.0,Manual,7162.0,Petrol,,60.1,1.0,ford
 GLA Class,2019.0,23599.0,Semi-Auto,,Petrol,145.0,36.2,1.6,merc
 Octavia,2019.0,18999.0,Semi-Auto,1162.0,Petrol,,44.8,1.5,skoda
 Mokka X,2019.0,,Manual,9763.0,Petrol,145.0,39.2,1.4,vauxhall
 1 Series,2019.0,,Automatic,1250.0,Petrol,145.0,40.4,1.5,BMW
 Yaris,2017.0,9991.0,Manual,2781.0,Petrol,150.0,58.9,1.5,toyota
 Golf,2019.0,,Semi-Auto,4392.0,Diesel,150.0,52.3,2.0,volkswagen
 Focus,2016.0,9800.0,Manual,44162.0,Diesel,20.0,,2.0,ford
 A3,2019.0,23900.0,Semi-Auto,5956.0,Petrol,150.0,41.5,,Audi
 Mokka X,2017.0,13295.0,Manual,9326.0,Petrol,145.0,42.2,1.6,vauxhall
 X1,2015.0,8995.0,Manual,90000.0,Diesel,160.0,51.4,2.0,BMW
 Corsa,2015.0,7995.0,Automatic,21233.0,Petrol,150.0,47.1,1.4,vauxhall
 Fiesta,2018.0,13000.0,Manual,3000.0,Petrol,145.0,61.4,1.0,ford
 EcoSport,2018.0,14770.0,Semi-Auto,2500.0,Petrol,150.0,48.7,1.0,ford
 Tucson,2016.0,13495.0,Manual,17103.0,Diesel,30.0,61.7,1.7,hyundi
 Astra,2017.0,10498.0,Manual,16132.0,Petrol,145.0,47.1,1.4,vauxhall
 Polo,2014.0,,Manual,49158.0,Petrol,,,1.2,volkswagen
 Fiesta,2017.0,10997.0,Manual,12000.0,Petrol,145.0,65.7,1.0,ford
 Focus,2017.0,,Manual,35500.0,Diesel,0.0,74.3,1.5,ford
 3 Series,2016.0,18299.0,Automatic,25431.0,Hybrid,0.0,134.5,2.0,BMW
 Fiesta,2018.0,,Manual,19231.0,Petrol,145.0,62.8,1.0,ford
 Q2,2019.0,31270.0,Semi-Auto,5446.0,Petrol,145.0,33.2,2.0,Audi
 Aygo,,5580.0,Manual,27653.0,Petrol,0.0,69.0,,toyota
 GLA Class,2015.0,18599.0,Semi-Auto,24927.0,Diesel,125.0,,,merc
 4 Series,,,Semi-Auto,6196.0,Diesel,145.0,50.4,,BMW
 Yaris,2017.0,,Automatic,11485.0,Hybrid,0.0,86.0,1.5,toyota
 A Class,2019.0,18141.0,Automatic,15689.0,Diesel,145.0,65.7,1.5,merc
 Q5,2015.0,21950.0,Semi-Auto,27141.0,Diesel,200.0,47.1,2.0,Audi
 Yaris,2016.0,,Automatic,16823.0,Hybrid,0.0,78.0,1.5,toyota
 Polo,2017.0,,Manual,10211.0,Petrol,20.0,,1.2,volkswagen
 E Class,2016.0,14670.0,Automatic,62119.0,Diesel,,60.1,2.1,merc
 E Class,2019.0,24749.0,Semi-Auto,10388.0,Diesel,145.0,72.4,2.0,merc
 Yaris,2016.0,,Manual,35000.0,Petrol,0.0,66.0,1.0,toyota
 A5,2019.0,32000.0,Manual,,Petrol,145.0,37.2,,Audi
 Corsa,2017.0,,Manual,22656.0,Petrol,150.0,55.4,1.4,vauxhall
 Fiesta,2015.0,7770.0,Manual,24074.0,Petrol,,65.7,1.0,ford
 A Class,2017.0,15991.0,Semi-Auto,13733.0,Diesel,145.0,74.3,1.5,merc
 3 Series,2019.0,25950.0,Automatic,1517.0,Diesel,145.0,,2.0,BMW
 Focus,2019.0,18250.0,Manual,7641.0,Petrol,145.0,60.1,1.0,ford
 Astra,,8498.0,Manual,,Petrol,145.0,64.2,1.0,vauxhall
 3 Series,2020.0,38995.0,Semi-Auto,1000.0,Diesel,145.0,49.6,2.0,BMW
